accessionyear,technique,dateend,creditline,primaryimageurl,places/0/placeid,places/0/type,places/0/displayname,medium,url,id,title,division,datebegin,classification,images/0/baseimageurl,images/0/publiccaption,images/0/displayorder,images/0/idsid,images/0/copyright,images/0/renditionnumber,dimensions,culture,images/1/baseimageurl,images/1/publiccaption,images/1/displayorder,images/1/idsid,images/1/copyright,images/1/renditionnumber,images/2/baseimageurl,images/2/publiccaption,images/2/displayorder,images/2/idsid,images/2/copyright,images/2/renditionnumber,images/3/baseimageurl,images/3/publiccaption,images/3/displayorder,images/3/idsid,images/3/copyright,images/3/renditionnumber,images/4/baseimageurl,images/4/publiccaption,images/4/displayorder,images/4/idsid,images/4/copyright,images/4/renditionnumber,images/5/baseimageurl,images/5/publiccaption,images/5/displayorder,images/5/idsid,images/5/copyright,images/5/renditionnumber,images/6/baseimageurl,images/6/publiccaption,images/6/displayorder,images/6/idsid,images/6/copyright,images/6/renditionnumber,images/7/baseimageurl,images/7/publiccaption,images/7/displayorder,images/7/idsid,images/7/copyright,images/7/renditionnumber,images/8/baseimageurl,images/8/publiccaption,images/8/displayorder,images/8/idsid,images/8/copyright,images/8/renditionnumber,images/9/baseimageurl,images/9/publiccaption,images/9/displayorder,images/9/idsid,images/9/copyright,images/9/renditionnumber,places/1/placeid,places/1/type,places/1/displayname
2006,,900,"Harvard Art Museums/Arthur M. Sackler Museum, Partial gift of the Walter C. Sedgwick Foundation and partial purchase through the Ernest B. and Helen Pratt Dane Fund for the Acquisition of Oriental Art",http://nrs.harvard.edu/urn-3:HUAM:CARP00152_dynmc,2028317,Creation Place,"East Asia, China",Silvered bronze,http://harvardartmuseums.org/collections/object/176997,176997,"Covered Reliquary, the Reliquary with a Pedestal Base, the Cover with a Knob in the Form of a Five-Story Stupa",Asian and Mediterranean Art,700,Ritual Implements,http://nrs.harvard.edu/urn-3:HUAM:CARP00152_dynmc,,1,18210595,President and Fellows of Harvard College,CARP00152,with cover: H. 16 x Diam. 9.4 cm (6 5/16 x 3 11/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,900,"Harvard Art Museums/Arthur M. Sackler Museum, Partial gift of the Walter C. Sedgwick Foundation and partial purchase through the Ernest B. and Helen Pratt Dane Fund for the Acquisition of Oriental Art",http://nrs.harvard.edu/urn-3:HUAM:CARP00155_dynmc,2028317,Creation Place,"East Asia, China",Turned bronze,http://harvardartmuseums.org/collections/object/191003,191003,Small Ovoid 'Guan' Jar and with Short Neck and Wide Mouth and with Bail Handle Attached to Leaf-Shaped Tabs on the Shoulder,Asian and Mediterranean Art,800,Vessels,http://nrs.harvard.edu/urn-3:HUAM:CARP00155_dynmc,,1,18210598,President and Fellows of Harvard College,CARP00155,H. 10.6 x Diam. 12.2 cm (4 3/16 x 4 13/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,9,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Ralph C. Marcove, M.D.",http://nrs.harvard.edu/urn-3:HUAM:VRS43984_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with integrally cast inscription,http://harvardartmuseums.org/collections/object/198016,198016,Circular Mirror with TLV Decoration and Auspicious Inscription,Asian and Mediterranean Art,-206,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:VRS43984_dynmc,,1,20680474,President and Fellows of Harvard College,43984,Diam. 14 cm (5 1/2 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,800,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Margot Warner",http://nrs.harvard.edu/urn-3:HUAM:CARP09275_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/201067,201067,"Fragment of an Eight-Lobed Mirror with Relief Decoration of Two Phoenixes, a Qilin, and a Mythical Animal (one of four pieces that form an incomplete mirror)",Asian and Mediterranean Art,700,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:CARP09275_dynmc,,1,18723101,President and Fellows of Harvard College,CARP09275,L. 15.9 cm (6 1/4 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:CARP09279_dynmc,1984.216.A-D fragments assembled to form incomplete mirror,2,18723105,President and Fellows of Harvard College,CARP09279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,-771,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Dr. and Mrs. Milford D. Schulz",http://nrs.harvard.edu/urn-3:HUAM:VRS13333_dynmc,2028317,Creation Place,"East Asia, China",Bronze,http://harvardartmuseums.org/collections/object/201240,201240,Dagger-axe (Ge),Asian and Mediterranean Art,-1050,Weapons and Ammunition,http://nrs.harvard.edu/urn-3:HUAM:VRS13333_dynmc,,1,20669862,President and Fellows of Harvard College,13333,L. 24.8 x W. 10.9 cm (9 3/4 x 4 5/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,1795,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of John West",http://nrs.harvard.edu/urn-3:HUAM:VRS42589_dynmc,2028317,Creation Place,"East Asia, China","Cast bronze with localized areas of cold gilding and red and blue pigments; with cast inscription at the front of base reading ""Da Qing Qianlong nian jing zao"". Sino-Tibetan style.",http://harvardartmuseums.org/collections/object/202990,202990,"Six-Headed Seated Bodhisattva with Hands Clasped in Front of Chest, Each Hand Grasping a Lotus Stalk, Each Stalk Culminating in a Lotus Blossom Surmounted by a Sutra in the Form of a Book",Asian and Mediterranean Art,1736,Sculpture,http://nrs.harvard.edu/urn-3:HUAM:VRS42589_dynmc,,1,20679880,President and Fellows of Harvard College,42589,H. 39.4 cm (15 1/2 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,,-1100,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Mrs. Frederick B. Jennings",http://nrs.harvard.edu/urn-3:HUAM:VRS44241_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/203272,203272,'Gu' Ritual Wine Vessel with 'Taotie' and Stylized Dragon Decor,Asian and Mediterranean Art,-1300,Vessels,http://nrs.harvard.edu/urn-3:HUAM:VRS44241_dynmc,,1,20680563,President and Fellows of Harvard College,44241,H. 27.5 x Diam. 16 cm (10 13/16 x 6 5/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,,0,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Dr. Arnold Knapp",http://nrs.harvard.edu/urn-3:HUAM:CARP03866_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/203373,203373,Ritual Wine Vessel (Zhi),Asian and Mediterranean Art,0,Vessels,http://nrs.harvard.edu/urn-3:HUAM:CARP03866_dynmc,,1,18731435,President and Fellows of Harvard College,CARP03866,H. 8.26 cm (3 1/4 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-301,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51607_dynmc,2028317,Creation Place,"East Asia, China","Cast bronze, the eyes inlaid with silver; the originally hollow base filled in with lead",http://harvardartmuseums.org/collections/object/203784,203784,"Support, Perhaps for a Lamp, in the Form of a Standing Official Grasping Two Open Cylinders",Asian and Mediterranean Art,-400,Lighting Devices,http://nrs.harvard.edu/urn-3:HUAM:51607_dynmc,,1,17387721,President and Fellows of Harvard College,51607,H. 20 x W. 9.7 x D. 12.8 cm (7 7/8 x 3 13/16 x 5 1/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:48622_dynmc,,2,43183103,President and Fellows of Harvard College,48622,http://nrs.harvard.edu/urn-3:HUAM:48623_dynmc,,3,43183104,President and Fellows of Harvard College,48623,http://nrs.harvard.edu/urn-3:HUAM:48624_dynmc,,4,43183105,President and Fellows of Harvard College,48624,http://nrs.harvard.edu/urn-3:HUAM:48625_dynmc,,5,43183106,President and Fellows of Harvard College,48625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,,-975,"Harvard Art Museums/Arthur M. Sackler Museum, Anonymous gift",http://nrs.harvard.edu/urn-3:HUAM:VRS46945_dynmc,2028317,Creation Place,"East Asia, China","Cast bronze; with integrally cast four-character inscription reading ""Zuo Fu Xin _?_"" on the interior of the lip",http://harvardartmuseums.org/collections/object/203789,203789,Ritual Food Vessel (Li Ding) with 'Taotie' Decor and Two Loop Handles in the Form of Twisted Rope,Asian and Mediterranean Art,-1050,Vessels,http://nrs.harvard.edu/urn-3:HUAM:VRS46945_dynmc,,1,20681531,President and Fellows of Harvard College,46945,H. 19.1 cm (7 1/2 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
